feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source,annotation_tier,annotation_level
A15_91524,Streptophyta,Viridiplantae,,Glycolipid,Glycolipid,Glycerolipids,MS2_diagnostic,Bronze,2
A15_21296,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_70636,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_46162,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_168735,Streptophyta,Viridiplantae,PA(16:0_16:0),PA,PA,Glycerophospholipids,LipidSearch,Gold,4
A15_118554,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_60152,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_105810,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_70919,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_155155,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_128755,Mucoromycota,Fungi,TG(10:0_6:0_18:0),TG,TG,Glycerolipids,LipidSearch,Bronze,3
A15_134090,Actinomycetota,Bacteria,DG(P-15:2_18:1),DG,DG,Glycerolipids,LipidSearch,Bronze,3
A15_135723,Bacillota,Bacteria,DG(O-5:0_23:0),DG,DG,Glycerolipids,LipidSearch,Bronze,3
A15_50303,Methanobacteriota,Archaea,,,,,none,Unidentified,0
A15_77487,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_142946,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_92144,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_83759,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_80729,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_80390,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_162023,Bacillota,Bacteria,PE(20:4_14:0),PE,PE,Glycerophospholipids,LipidSearch,Gold,4
A15_110051,Streptophyta,Viridiplantae,DG(P-14:2_21:6),DG,DG,Glycerolipids,LipidSearch,Bronze,3
A15_65576,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_78286,Streptophyta,Viridiplantae,TG(18:1_15:2),TG,TG,Glycerolipids,LipidSearch,Bronze,3
A15_166877,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_159054,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_50212,Methanobacteriota,Archaea,,,,,none,Unidentified,0
A15_174848,Streptophyta,Viridiplantae,Cer(d18:2_19:0),Cer,Cer,Sphingolipids,LipidSearch,Bronze,3
A15_116524,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_8814,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_23604,Streptophyta,Viridiplantae,LPA(16:0),LPA,LPA,Glycerophospholipids,LipidSearch,Bronze,3
A15_142044,Streptophyta,Viridiplantae,PA(16:1_18:3),PA,PA,Glycerophospholipids,LipidSearch,Gold,4
A15_216177,Streptophyta,Viridiplantae,TG(16:2_18:2_16:3),TG,TG,Glycerolipids,LipidSearch,Gold,4
A15_162973,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_48301,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_95270,Streptophyta,Viridiplantae,TG(9:0_9:0_18:4)+O:(s),TG,TG,Glycerolipids,LipidSearch,Gold,4
A15_56137,Basidiomycota,Fungi,,,,,none,Unidentified,0
A15_40722,Basidiomycota,Fungi,,,,,none,Unidentified,0
A15_42945,Basidiomycota,Fungi,,,,,none,Unidentified,0
A15_183186,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_157019,Bacillota,Bacteria,PA(18:2_18:3),PA,PA,Glycerophospholipids,LipidSearch,Gold,4
A15_27525,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_20637,Basidiomycota,Fungi,LPA(16:0),LPA,LPA,Glycerophospholipids,LipidSearch,Bronze,3
A15_173757,Ascomycota,Fungi,DG(O-20:5_18:0),DG,DG,Glycerolipids,LipidSearch,Bronze,3
A15_46887,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_197367,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_124318,Streptophyta,Viridiplantae,PC(35:6),PC,PC,Glycerophospholipids,LipidSearch,Bronze,3
A15_66959,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_92622,Basidiomycota,Fungi,,,,,none,Unidentified,0
A15_212859,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_28023,Streptophyta,Viridiplantae,PS(9:0_18:2),PS,PS,Glycerophospholipids,LipidSearch,Bronze,3
