mode,phylum_1,phylum_2,group_1,group_2,rank_1,rank_2,n_detected_1,n_detected_2,n_shared,frac_of_smaller,jaccard
NEG,Ascomycota,Mollusca,Fungi,Animalia,10,15,10640,5362,4323,0.8062,0.3702
NEG,Ascomycota,Nematoda,Fungi,Animalia,10,16,10640,4168,3154,0.7567,0.2706
NEG,Basidiomycota,Chlorophyta,Fungi,Viridiplantae,11,12,9212,8605,5253,0.6105,0.4181
NEG,Basidiomycota,Streptophyta,Fungi,Viridiplantae,11,13,9212,11160,7539,0.8184,0.5875
NEG,Basidiomycota,Arthropoda,Fungi,Animalia,11,14,9212,11033,7069,0.7674,0.5365
NEG,Basidiomycota,Mollusca,Fungi,Animalia,11,15,9212,5362,3711,0.6921,0.3416
NEG,Basidiomycota,Nematoda,Fungi,Animalia,11,16,9212,4168,2634,0.632,0.2451
NEG,Chlorophyta,Streptophyta,Viridiplantae,Viridiplantae,12,13,8605,11160,7456,0.8665,0.6057
NEG,Chlorophyta,Arthropoda,Viridiplantae,Animalia,12,14,8605,11033,7179,0.8343,0.5762
NEG,Chlorophyta,Mollusca,Viridiplantae,Animalia,12,15,8605,5362,3916,0.7303,0.3896
NEG,Chlorophyta,Nematoda,Viridiplantae,Animalia,12,16,8605,4168,3188,0.7649,0.3326
NEG,Streptophyta,Arthropoda,Viridiplantae,Animalia,13,14,11160,11033,8556,0.7755,0.6274
NEG,Streptophyta,Mollusca,Viridiplantae,Animalia,13,15,11160,5362,4441,0.8282,0.3676
NEG,Streptophyta,Nematoda,Viridiplantae,Animalia,13,16,11160,4168,3325,0.7977,0.277
NEG,Arthropoda,Mollusca,Animalia,Animalia,14,15,11033,5362,5199,0.9696,0.4644
NEG,Arthropoda,Nematoda,Animalia,Animalia,14,16,11033,4168,3976,0.9539,0.3542
NEG,Mollusca,Nematoda,Animalia,Animalia,15,16,5362,4168,2640,0.6334,0.3832
